 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14077 |    67297 |       8.5 |       8.5 |            - |            -
      1 |   14029 |    58033 |      14.5 |      23.0 |            - |            -
      2 |   18395 |    71342 |      14.9 |      37.8 |            - |            -
      3 |   24104 |    94126 |      16.8 |      54.6 |            - |            -
      4 |   31158 |   124256 |      21.8 |      76.4 |            - |            -
      5 |   39807 |   162472 |      27.5 |     103.9 | +1.69545e+09 | +9.21070e+08
      6 |   49457 |   206200 |      33.2 |     137.1 | +6.43084e+08 | +4.33888e+08
      7 |   59525 |   253579 |      40.7 |     177.7 | +3.28087e+08 | +3.31156e+08
      8 |   70573 |   307155 |      49.1 |     226.8 | +2.18681e+08 | +2.43028e+08

Solution completed. Time to solve: 260.8 s
