 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14122 |    67577 |       8.8 |       8.8 |            - |            -
      1 |   14035 |    58335 |      14.3 |      23.1 |            - |            -
      2 |   18613 |    72588 |      14.4 |      37.5 |            - |            -
      3 |   24234 |    94916 |      17.6 |      55.1 |            - |            -
      4 |   31245 |   124953 |      21.3 |      76.4 |            - |            -
      5 |   40051 |   163608 |      27.0 |     103.4 | +1.76405e+09 | +8.85465e+08
      6 |   49640 |   207537 |      32.7 |     136.0 | +6.07813e+08 | +3.57204e+08
      7 |   59758 |   255238 |      41.2 |     177.3 | +3.11602e+08 | +3.72768e+08
      8 |   71295 |   310813 |      48.5 |     225.8 | +2.03835e+08 | +2.53930e+08

Solution completed. Time to solve: 261.0 s
